Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
Drug-taking students,Go to cyber cafes / electronic games centres,Secondary,2023/24,7
Drug-taking students,Participate in voluntary work,Secondary,2023/24,6
Drug-taking students,Participate in church / religious activities,Secondary,2023/24,7
Drug-taking students,Others,Secondary,2023/24,7.3
Non-drug-taking students,Chat with friends,Secondary,2023/24,70.1
Non-drug-taking students,Play electronic games at home ,Secondary,2023/24,64.9
Non-drug-taking students,Surf the Internet,Secondary,2023/24,54
Non-drug-taking students,Watch TV / listen to the radio or music,Secondary,2023/24,51.3
Non-drug-taking students,Hang around at home / sleep ,Secondary,2023/24,56.1
Non-drug-taking students,Chat / play with family,Secondary,2023/24,38.6
Non-drug-taking students,Watch movies,Secondary,2023/24,39.1
Non-drug-taking students,Shopping / wander on streets,Secondary,2023/24,34.6
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Secondary,2023/24,36.2
Non-drug-taking students,Read books,Secondary,2023/24,27.6
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Secondary,2023/24,27.7
Non-drug-taking students,Read comics,Secondary,2023/24,21.4
Non-drug-taking students,Play in friends’ and relatives’ home,Secondary,2023/24,17.4
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Secondary,2023/24,14.7
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Secondary,2023/24,7.5
Non-drug-taking students,Participate in voluntary work,Secondary,2023/24,6
Non-drug-taking students,Participate in church / religious activities,Secondary,2023/24,5.1
Non-drug-taking students,Go to cyber cafes / electronic games centres,Secondary,2023/24,2.2
Non-drug-taking students,Others,Secondary,2023/24,2.5
All students,Chat with friends,Post-secondary,2020/21,72.1
All students,Play electronic games at home ,Post-secondary,2020/21,47.7
All students,Surf the Internet,Post-secondary,2020/21,65.5
All students,Watch TV / listen to the radio or music,Post-secondary,2020/21,59.5
All students,Hang around at home / sleep ,Post-secondary,2020/21,59.4
All students,Chat / play with family,Post-secondary,2020/21,43.7
All students,Watch movies,Post-secondary,2020/21,54.3
All students,Shopping / wander on streets,Post-secondary,2020/21,44.5
All students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2020/21,38.8
All students,Read books,Post-secondary,2020/21,39.9
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2020/21,25.5
All students,Read comics,Post-secondary,2020/21,27.4
All students,Play in friends’ and relatives’ home,Post-secondary,2020/21,18.3
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2020/21,10.8
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2020/21,15.2
All students,Participate in voluntary work,Post-secondary,2020/21,10.5
All students,Participate in church / religious activities,Post-secondary,2020/21,7.3
All students,Go to cyber cafes / electronic games centres,Post-secondary,2020/21,3.5
All students,Others,Post-secondary,2020/21,0.7
Drug-taking students,Chat with friends,Post-secondary,2020/21,71.9
Drug-taking students,Play electronic games at home ,Post-secondary,2020/21,42.5
Drug-taking students,Watch movies,Post-secondary,2020/21,61
Drug-taking students,Hang around at home / sleep ,Post-secondary,2020/21,63.7
Drug-taking students,Surf the Internet,Post-secondary,2020/21,62.1
Drug-taking students,Watch TV / listen to the radio or music,Post-secondary,2020/21,58.9
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2020/21,53.2
Drug-taking students,Shopping / wander on streets,Post-secondary,2020/21,46.1
Drug-taking students,Chat / play with family,Post-secondary,2020/21,33.9
Drug-taking students,Read books,Post-secondary,2020/21,37
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2020/21,41.8
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2020/21,33.9
Drug-taking students,Play in friends’ and relatives’ home,Post-secondary,2020/21,26.6
Drug-taking students,Read comics,Post-secondary,2020/21,18.2
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2020/21,16.4
Drug-taking students,Go to cyber cafes / electronic games centres,Post-secondary,2020/21,9.5
Drug-taking students,Participate in voluntary work,Post-secondary,2020/21,14.3
Drug-taking students,Participate in church / religious activities,Post-secondary,2020/21,8.3
Drug-taking students,Others,Post-secondary,2020/21,1.1
Non-drug-taking students,Chat with friends,Post-secondary,2020/21,72.2
Non-drug-taking students,Play electronic games at home ,Post-secondary,2020/21,47.9
